name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas australica	589873	S	493238	312773	806011	0.02426
Alteromonas macleodii	28108	S	240679	499247	739926	0.02227
Alteromonas abrolhosensis	1892904	S	13105	17387	30492	0.00092
Alteromonas mediterranea	314275	S	6925	12757	19682	0.00059
Alteromonas marina	203795	S	6231	11461	17692	0.00053
Alteromonas sp. IB21	2779369	S	1533	1851	3384	0.00010
Alteromonas sp. RKMC-009	2267264	S	1067	276	1343	0.00004
Alteromonas sp. KUL106	2480799	S	571	281	852	0.00003
Alteromonas sp. BL110	1714845	S	244	502	746	0.00002
Alteromonas sp. V450	1912139	S	228	189	417	0.00001
Alteromonas sp. KUL42	2480797	S	191	34	225	0.00001
Alteromonas sp. KC3	2795688	S	187	68	255	0.00001
Alteromonas sp. ALT199	1298865	S	159	276	435	0.00001
Alteromonas sp. 38	2653129	S	151	165	316	0.00001
Alteromonas sp. LOR	1537994	S	108	79	187	0.00001
Alteromonas sp. 5E99-2	2817683	S	60	4	64	0.00000
Alteromonas sp. MMG017	2822692	S	36	35	71	0.00000
Alteromonas profundi	2696062	S	4003	2925	6928	0.00021
Alteromonas antoniana	2803813	S	3555	4641	8196	0.00025
Alteromonas oceani	2071609	S	3079	16418	19497	0.00059
Alteromonas alba	2079529	S	2276	21665	23941	0.00072
Alteromonas naphthalenivorans	715451	S	1645	3395	5040	0.00015
Alteromonas hispanica	315421	S	1307	226	1533	0.00005
Alteromonas portus	2565549	S	1253	1349	2602	0.00008
Alteromonas oceanisediminis	2836180	S	734	222	956	0.00003
Alteromonas lipotrueiana	2803815	S	620	172	792	0.00002
Alteromonas genovensis	471225	S	618	507	1125	0.00003
Alteromonas gracilis	1479524	S	364	272	636	0.00002
Alteromonas pelagimontana	1858656	S	212	50	262	0.00001
Alteromonas stellipolaris	233316	S	77	90	167	0.00001
Alteromonas lipolytica	1856405	S	37	8	45	0.00000
Alteromonas confluentis	1656094	S	33	5	38	0.00000
Alteromonas sediminis	2259342	S	32	1	33	0.00000
Alteromonas halophila	516698	S	23	5	28	0.00000
Alteromonas flava	2048003	S	23	1	24	0.00000
Salinimonas profundi	2729140	S	143	94	237	0.00001
Salinimonas sediminis	2303538	S	129	117	246	0.00001
Salinimonas chungwhensis	265425	S	56	7	63	0.00000
Salinimonas lutimaris	914153	S	46	17	63	0.00000
Salinimonas iocasae	2572577	S	22	6	28	0.00000
Alteromonadaceae bacterium UBA2620	1951386	S	4454	20447	24901	0.00075
Alteromonadaceae bacterium	1916082	S	807	567	1374	0.00004
Alteromonadaceae bacterium XY-R5	1737567	S	34	2	36	0.00000
Paraglaciecola chathamensis	368405	S	622	214	836	0.00003
uncultured Paraglaciecola sp.	1765024	S	31	11	42	0.00000
Paraglaciecola mesophila	197222	S	30	13	43	0.00000
Marisediminitalea aggregata	634436	S	774	132	906	0.00003
Glaciecola sp. HTCC2999	455436	S	46	7	53	0.00000
Glaciecola sp. XM2	1914931	S	43	2	45	0.00000
Glaciecola sp. UBA1851	1946570	S	40	7	47	0.00000
Neptunicella marina	2125989	S	82	18	100	0.00000
Ningiella ruwaisensis	2364274	S	78	45	123	0.00000
