All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    ERR599085  ERR599086  ERR599096  ERR599109  ERR599112  ERR599115  ERR599124  ERR599125
# contigs (>= 0 bp)         6          74         72         10         669        388        15         7        
# contigs (>= 1000 bp)      6          74         72         10         669        388        15         7        
# contigs (>= 5000 bp)      0          28         27         1          257        69         10         1        
# contigs (>= 10000 bp)     0          15         17         0          166        28         10         0        
# contigs (>= 25000 bp)     0          3          7          0          62         9          7          0        
# contigs (>= 50000 bp)     0          2          2          0          24         4          2          0        
Total length (>= 0 bp)      8845       552353     712233     25113      6602167    1744689    348749     15556    
Total length (>= 1000 bp)   8845       552353     712233     25113      6602167    1744689    348749     15556    
Total length (>= 5000 bp)   0          451028     617302     8624       5704200    1053383    334435     6565     
Total length (>= 10000 bp)  0          359352     545642     0          5057937    771147     334435     0        
Total length (>= 25000 bp)  0          171408     374334     0          3469619    504007     292122     0        
Total length (>= 50000 bp)  0          139738     151265     0          2118177    328973     114579     0        
# contigs                   6          74         72         10         669        388        15         7        
Largest contig              2616       84275      79642      8624       294054     109795     61472      6565     
Total length                8845       552353     712233     25113      6602167    1744689    348749     15556    
GC (%)                      50.99      47.59      58.64      40.86      58.38      60.41      60.07      46.60    
N50                         1316       15640      37720      2604       28230      7718       40433      2759     
N90                         1109       3154       3718       1272       3559       1720       11014      1148     
auN                         1656.3     27671.5    35648.6    4305.2     55756.4    24209.9    39433.2    3767.4   
L50                         3          9          7          3          56         40         4          2        
L90                         6          40         33         8          314        255        9          6        
# N's per 100 kbp           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00     
