name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Salinimonas iocasae	2572577	S	13173	7728	20901	0.39602
Alteromonas sp. RKMC-009	2267264	S	145	0	145	0.00275
Alteromonas stellipolaris	233316	S	53	11	64	0.00121
Gayadomonas joobiniege	1234606	S	13	0	13	0.00025
Pseudoalteromonas sp. NC201	1514074	S	742	1	743	0.01408
Pseudoalteromonas arctica	394751	S	596	364	960	0.01819
Pseudoalteromonas shioyasakiensis	1190813	S	137	0	137	0.00260
Pseudoalteromonas carrageenovora	227	S	26	0	26	0.00049
Pseudoalteromonas nigrifaciens	28109	S	13	2	15	0.00028
Shewanella aestuarii	1028752	S	262	479	741	0.01404
Shewanella sp. ANA-3	94122	S	256	803	1059	0.02007
Halomonas ventosae	229007	S	728	2665	3393	0.06429
Halomonas sulfidaeris	115553	S	244	149	393	0.00745
Marinomonas algicola	2773454	S	76	2	78	0.00148
Proteus sp. ZN5	2697019	S	239	5776	6015	0.11397
Escherichia fergusonii	564	S	52	1047	1099	0.02082
Enterobacter cloacae	550	S	15	256	271	0.00513
Enterobacter cloacae complex sp. ECNIH7	1915310	S	15	87	102	0.00193
Klebsiella sp. WP3-W18-ESBL-02	2675710	S	13	104	117	0.00222
Marinobacter sp. NP-4(2019)	2488665	S	751	0	751	0.01423
Pseudomonas putida	303	S	180	184	364	0.00690
Pseudomonas resinovorans	53412	S	53	9	62	0.00117
Stutzerimonas stutzeri	316	S	65	51	116	0.00220
Vibrio rumoiensis	76258	S	330	1495	1825	0.03458
Vibrio tubiashii	29498	S	147	136	283	0.00536
Acinetobacter sp. WCHA45	2004644	S	97	611	708	0.01341
Acinetobacter sp. 10FS3-1	2563897	S	23	32	55	0.00104
Acinetobacter sp. WCHA55	2004646	S	12	68	80	0.00152
Acinetobacter piscicola	2006115	S	78	212	290	0.00549
Psychrobacter sp. 4Dc	888437	S	27	72	99	0.00188
Psychrobacter sp. 4Bb	888436	S	23	13	36	0.00068
Sulfitobacter sp. D7	1968541	S	178	216	394	0.00747
Sulfitobacter sp. THAF37	2587855	S	78	205	283	0.00536
Sulfitobacter alexandrii	1917485	S	120	472	592	0.01122
Salipiger profundus	1229727	S	283	527	810	0.01535
Salipiger abyssi	1250539	S	144	150	294	0.00557
Salipiger sp. CCB-MM3	1792508	S	45	0	45	0.00085
Roseovarius mucosus	215743	S	86	855	941	0.01783
Roseovarius indicus	540747	S	77	200	277	0.00525
Roseovarius sp. THAF9	2587847	S	16	14	30	0.00057
Octadecabacter sp. SW4	2602067	S	146	333	479	0.00908
