name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudoalteromonas sp. PS1M3	87791	S	2742	63769	66511	0.06580
Pseudoalteromonas sp. Xi13	2490635	S	1799	31380	33179	0.03282
Pseudoalteromonas sp. DL-6	1390185	S	1463	6000	7463	0.00738
Pseudoalteromonas sp. SCSIO 43095	2894202	S	1389	13207	14596	0.01444
Pseudoalteromonas sp. SM9913	234831	S	1210	92878	94088	0.09308
Pseudoalteromonas sp. APM04	2699396	S	880	23235	24115	0.02386
Pseudoalteromonas sp. SCSIO 43088	2822846	S	360	1153	1513	0.00150
Pseudoalteromonas sp. 3J6	649161	S	357	4670	5027	0.00497
Pseudoalteromonas sp. SiA1	2839744	S	322	17646	17968	0.01778
Pseudoalteromonas sp. LC2018020214	2799564	S	123	3620	3743	0.00370
Pseudoalteromonas sp. SCSIO 43101	2822847	S	115	177	292	0.00029
Pseudoalteromonas sp. 13-15	1761891	S	79	2036	2115	0.00209
Pseudoalteromonas sp. JSTW	2752475	S	51	4050	4101	0.00406
Pseudoalteromonas sp. M8	2692624	S	31	1921	1952	0.00193
Pseudoalteromonas sp. A41-2	2785910	S	24	3113	3137	0.00310
Pseudoalteromonas sp. KAN5	2916633	S	22	811	833	0.00082
Pseudoalteromonas sp. Bsw20308	283699	S	22	140	162	0.00016
Pseudoalteromonas sp. 1_2015MBL_MicDiv	1720343	S	21	133	154	0.00015
Pseudoalteromonas agarivorans	176102	S	4378	70405	74783	0.07398
Pseudoalteromonas undina	43660	S	3764	51593	55357	0.05476
Pseudoalteromonas prydzensis	182141	S	1712	1036	2748	0.00272
Pseudoalteromonas marina	267375	S	1400	34461	35861	0.03548
Pseudoalteromonas rhizosphaerae	2518973	S	541	501	1042	0.00103
Pseudoalteromonas lipolytica	570156	S	483	30902	31385	0.03105
Pseudoalteromonas atlantica	288	S	428	12319	12747	0.01261
Pseudoalteromonas nigrifaciens	28109	S	332	9737	10069	0.00996
Pseudoalteromonas issachenkonii	152297	S	240	12710	12950	0.01281
Pseudoalteromonas carrageenovora	227	S	234	397	631	0.00062
Pseudoalteromonas tetraodonis	43659	S	183	14039	14222	0.01407
Pseudoalteromonas mariniglutinosa	206042	S	165	3450	3615	0.00358
Pseudoalteromonas espejiana	28107	S	155	188	343	0.00034
Pseudoalteromonas arctica	394751	S	137	594	731	0.00072
Pseudoalteromonas distincta	77608	S	73	1584	1657	0.00164
Pseudoalteromonas ulvae	107327	S	71	10	81	0.00008
Pseudoalteromonas translucida	166935	S	63	295	358	0.00035
Pseudoalteromonas shioyasakiensis	1190813	S	31	96	127	0.00013
Pseudoalteromonas aliena	247523	S	28	40	68	0.00007
Alteromonas macleodii	28108	S	258849	76600	335449	0.33185
Alteromonas mediterranea	314275	S	22881	6611	29492	0.02918
