All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    ERR598999  ERR599000  ERR599004  ERR599005  ERR599008  ERR599015  ERR599020  ERR599021
# contigs (>= 0 bp)         79         484        26         69         65         38         74         64       
# contigs (>= 1000 bp)      79         484        26         69         65         38         74         64       
# contigs (>= 5000 bp)      35         113        7          15         5          2          28         11       
# contigs (>= 10000 bp)     16         48         3          7          1          2          18         6        
# contigs (>= 25000 bp)     9          17         1          2          0          2          10         1        
# contigs (>= 50000 bp)     3          8          1          2          0          2          3          1        
Total length (>= 0 bp)      776391     2909076    179254     440925     153240     515554     797856     267453   
Total length (>= 1000 bp)   776391     2909076    179254     440925     153240     515554     797856     267453   
Total length (>= 5000 bp)   683615     2096487    142079     330971     41051      448513     709812     170524   
Total length (>= 10000 bp)  545180     1642510    112167     266202     12495      448513     641252     137312   
Total length (>= 25000 bp)  416753     1146930    79732      192877     0          448513     521911     52489    
Total length (>= 50000 bp)  223551     823729     79732      192877     0          448513     288577     52489    
# contigs                   79         484        26         69         65         38         74         64       
Largest contig              98145      218020     79732      114705     12495      387974     159678     52489    
Total length                776391     2909076    179254     440925     153240     515554     797856     267453   
GC (%)                      57.15      56.26      54.36      44.46      46.45      45.89      48.61      60.92    
N50                         25855      15384      20545      14181      2784       387974     35748      11836    
N90                         4206       1967       2664       1963       1199       3034       4450       1467     
auN                         35911.5    48388.0    40370.3    48202.9    4115.9     299369.8   55839.4    17701.2  
L50                         8          33         2          4          15         1          6          6        
L90                         39         277        13         36         51         7          30         42       
# N's per 100 kbp           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00     
