All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    ERR599031  ERR599033  ERR599034  ERR599037  ERR599044  ERR599047  ERR599048  ERR599051
# contigs (>= 0 bp)         39         82         71         40         310        363        47         22       
# contigs (>= 1000 bp)      39         82         71         40         310        363        47         22       
# contigs (>= 5000 bp)      0          28         8          10         93         72         6          8        
# contigs (>= 10000 bp)     0          16         5          1          52         35         3          5        
# contigs (>= 25000 bp)     0          5          3          0          22         16         2          1        
# contigs (>= 50000 bp)     0          2          0          0          9          5          1          1        
Total length (>= 0 bp)      71036      710329     284882     139335     2372035    2313015    241647     244456   
Total length (>= 1000 bp)   71036      710329     284882     139335     2372035    2313015    241647     244456   
Total length (>= 5000 bp)   0          599846     168497     73220      1908474    1703640    164220     215216   
Total length (>= 10000 bp)  0          517759     144941     10020      1621953    1452079    146237     194148   
Total length (>= 25000 bp)  0          354534     109276     0          1165764    1155760    136107     128020   
Total length (>= 50000 bp)  0          247046     0          0          740230     799911     100045     128020   
# contigs                   39         82         71         40         310        363        47         22       
Largest contig              4729       175539     44716      10020      143113     454029     100045     128020   
Total length                71036      710329     284882     139335     2372035    2313015    241647     244456   
GC (%)                      41.57      57.74      62.43      42.66      52.13      55.72      42.88      54.75    
N50                         1774       21675      15999      5432       24456      24285      36062      128020   
N90                         1137       2983       1360       1626       2502       1952       1560       3651     
auN                         2223.0     61080.3    18231.8    5266.7     40599.4    112432.6   48435.5    72568.0  
L50                         13         6          5          10         23         17         2          1        
L90                         33         38         47         29         157        197        27         10       
# N's per 100 kbp           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00     
