name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Erythrobacter sp. A30-3	2785907	S	50413	33820	84233	0.07037
Erythrobacter sp. THAF29	2587851	S	129	29	158	0.00013
Erythrobacter sp. 3-20A1M	2653850	S	35	22	57	0.00005
Erythrobacter litoralis	39960	S	1244	827	2071	0.00173
Erythrobacter aureus	2182384	S	103	14	117	0.00010
Erythrobacter mangrovi	2739433	S	20	8	28	0.00002
Qipengyuania flava	192812	S	30968	18801	49769	0.04158
Qipengyuania sp. SS22	2979461	S	305	62	367	0.00031
Qipengyuania sp. PHS-Z21	2909673	S	205	110	315	0.00026
Qipengyuania seohaensis	266951	S	96	28	124	0.00010
Qipengyuania aurantiaca	2867233	S	18	7	25	0.00002
Croceicoccus sp. Ery15	1703338	S	491	740	1231	0.00103
Croceicoccus sp. Ery5	1703340	S	330	243	573	0.00048
Croceicoccus sp. YJ47	2798724	S	37	42	79	0.00007
Croceicoccus marinus	450378	S	666	462	1128	0.00094
Croceicoccus naphthovorans	1348774	S	133	228	361	0.00030
Tsuneonella flava	2055955	S	299	78	377	0.00031
Aurantiacibacter atlanticus	1648404	S	290	141	431	0.00036
Croceibacterium atlanticum	1267766	S	56	21	77	0.00006
Pelagerythrobacter marensis	543877	S	12	1	13	0.00001
Citromicrobium sp. JL477	1634516	S	32295	13782	46077	0.03850
Sphingobium xenophagum	121428	S	206	529	735	0.00061
Sphingobium yanoikuyae	13690	S	112	359	471	0.00039
Sphingobium sp. RAC03	1843368	S	38	25	63	0.00005
Sphingobium sp. KCTC 72723	2733867	S	18	6	24	0.00002
Sphingobium sp. RSMS	520734	S	14	163	177	0.00015
Sphingobium fuliginis	336203	S	28	193	221	0.00018
Sphingobium cloacae	120107	S	15	90	105	0.00009
Sphingosinithalassobacter tenebrarum	2711215	S	302	95	397	0.00033
Novosphingopyxis iocasae	2762729	S	234	135	369	0.00031
Sphingomonas aerolata	185951	S	39	27	66	0.00006
Sphingomonas sp. MM-1	745310	S	14	101	115	0.00010
Sphingomonas sanxanigenens	397260	S	33	72	105	0.00009
Sphingopyxis sp. FD7	1914525	S	31	36	67	0.00006
Sphingopyxis sp. 113P3	292913	S	12	16	28	0.00002
Sphingopyxis macrogoltabida	33050	S	33	57	90	0.00008
Novosphingobium pentaromativorans	205844	S	47	96	143	0.00012
Novosphingobium decolorationis	2698673	S	17	26	43	0.00004
Sulfitobacter pontiacus	60137	S	1362	92575	93937	0.07848
Sulfitobacter sp. SK025	1389011	S	504	27757	28261	0.02361
Sulfitobacter sp. CB2047	1525218	S	89	8999	9088	0.00759
Sulfitobacter sp. D7	1968541	S	30	817	847	0.00071
Sulfitobacter sp. BSw21498	664426	S	25	67	92	0.00008
Sulfitobacter sp. THAF37	2587855	S	18	176	194	0.00016
Sulfitobacter indolifex	225422	S	626	3952	4578	0.00382
Sulfitobacter alexandrii	1917485	S	291	3427	3718	0.00311
Sulfitobacter faviae	1775881	S	122	846	968	0.00081
Roseovarius indicus	540747	S	2360	11396	13756	0.01149
Roseovarius mucosus	215743	S	33	303	336	0.00028
Phaeobacter inhibens	221822	S	455	1040	1495	0.00125
Phaeobacter gallaeciensis	60890	S	13	49	62	0.00005
Pseudosulfitobacter sp. DSM 107133	2883100	S	192	925	1117	0.00093
Pseudosulfitobacter pseudonitzschiae	1402135	S	58	293	351	0.00029
Ruegeria sp. YS9	2966453	S	182	81	263	0.00022
Ruegeria sp. SCSIO 43209	2793010	S	18	29	47	0.00004
Ruegeria sp. THAF33	2587853	S	14	32	46	0.00004
Mameliella alba	561184	S	110	211	321	0.00027
Salipiger profundus	1229727	S	64	302	366	0.00031
Sagittula sp. P11	2009329	S	72	661	733	0.00061
Dinoroseobacter shibae	215813	S	58	347	405	0.00034
Leisingera caerulea	506591	S	37	35	72	0.00006
Actibacterium sp. EMB200-NS6	1609966	S	36	284	320	0.00027
Roseivivax marinus	1379903	S	16	25	41	0.00003
Octadecabacter sp. SW4	2602067	S	21	51	72	0.00006
Thalassococcus sp. S3	2017482	S	21	2	23	0.00002
Pseudooceanicola atlanticus	1461694	S	3373	1681	5054	0.00422
Tritonibacter mobilis	379347	S	549	2608	3157	0.00264
Paracoccus sp. SCSIO 75233	3017782	S	26	210	236	0.00020
Paracoccus sp. SCSIO 75817	3017781	S	22	116	138	0.00012
Aliiroseovarius crassostreae	154981	S	105	27	132	0.00011
Pacificitalea manganoxidans	1411902	S	34	78	112	0.00009
Yoonia vestfoldensis	245188	S	28	101	129	0.00011
Pseudohalocynthiibacter aestuariivivens	1591409	S	28	1498	1526	0.00127
Pelagovum pacificum	2588711	S	22	9	31	0.00003
Pukyongiella litopenaei	2605946	S	16	41	57	0.00005
Brevirhabdus pacifica	1267768	S	12	80	92	0.00008
Hyphomonas sp. KY3	2016196	S	123346	24748	148094	0.12373
