100.00	2330362	0	R	1	root
100.00	2330362	0	R1	131567	  cellular organisms
74.10	1726870	0	D	2	    Bacteria
28.79	671003	0	P	1224	      Pseudomonadota
16.91	394155	0	C	28211	        Alphaproteobacteria
7.96	185592	0	O	204457	          Sphingomonadales
4.06	94600	0	F	41297	            Sphingomonadaceae
3.36	78360	0	G	72173	              Citromicrobium
2.91	67880	0	G1	2630544	                unclassified Citromicrobium
2.56	59719	59719	S	2024827	                  Citromicrobium sp.
0.34	8037	8037	S	1946345	                  Citromicrobium sp. UBA3494
0.01	123	123	S	517722	                  Citromicrobium sp. JLT1363
0.45	10479	10479	S	72174	                Citromicrobium bathyomarinum
0.42	9887	0	G	150203	              Blastomonas
0.42	9887	9887	S	1867408	                Blastomonas marina
0.12	2858	0	G	13687	              Sphingomonas
0.10	2437	0	G1	196159	                unclassified Sphingomonas
0.10	2437	2437	S	314266	                  Sphingomonas sp. SKA58
0.01	232	232	S	93063	                Sphingomonas aquatilis
0.00	82	82	S	862134	                Sphingomonas ginsenosidimutans
0.00	79	79	S	1646122	                Sphingomonas zeae
0.00	27	27	S	2283317	                Sphingomonas aracearum
0.11	2502	0	G	165695	              Sphingobium
0.03	793	0	G1	2611147	                unclassified Sphingobium
0.03	595	595	S	1207055	                  Sphingobium sp. C100
0.00	102	102	S	453246	                  Sphingobium sp. TCM1
0.00	39	39	S	1912891	                  Sphingobium sp.
0.00	56	56	S	1768781	                  Sphingobium sp. CCH11-B1
0.07	1538	1538	S	121428	                Sphingobium xenophagum
0.00	87	87	S	13690	                Sphingobium yanoikuyae
0.00	82	82	S	1404341	                Sphingobium scionense
0.02	500	0	G	165696	              Novosphingobium
0.01	223	223	S	462949	                Novosphingobium indicum
0.00	105	105	S	1514948	                Novosphingobium marinum
0.00	34	34	S	1348853	                Novosphingobium malaysiense
0.00	44	44	S	2682494	                Novosphingobium aquimarinum
0.00	59	59	S	2692619	                Novosphingobium silvae
0.00	34	34	S	205844	                Novosphingobium pentaromativorans
0.01	232	0	G	2709686	              Novosphingopyxis
0.01	161	161	S	2762729	                Novosphingopyxis iocasae
0.00	70	70	S	279369	                Novosphingopyxis baekryungensis
0.01	189	0	G	165697	              Sphingopyxis
0.01	189	0	G1	2614943	                unclassified Sphingopyxis
0.01	189	189	S	1908224	                  Sphingopyxis sp.
0.00	35	0	F1	122612	              unclassified Sphingomonadaceae
0.00	35	35	S	1986231	                Sphingomonadaceae bacterium MED-G03
0.00	33	0	G	1234545	              Parasphingopyxis
0.00	33	0	G1	1547917	                environmental samples
0.00	33	33	S	1547918	                  uncultured Parasphingopyxis sp.
3.90	90937	0	F	335929	            Erythrobacteraceae
2.96	68923	0	F1	2800788	              Erythrobacter/Porphyrobacter group
2.96	68923	0	G	1041	                Erythrobacter
2.91	67891	0	G1	2633097	                  unclassified Erythrobacter
2.69	62781	62781	S	2785907	                    Erythrobacter sp. A30-3
0.14	3245	3245	S	1042	                    Erythrobacter sp.
0.07	1592	1592	S	1822240	                    Erythrobacter sp. HI0063
0.01	141	141	S	2793063	                    Erythrobacter sp. YJ-T3-07
0.01	131	131	S	1946470	                    Erythrobacter sp. UBA2510
0.04	913	913	S	39960	                  Erythrobacter litoralis
0.00	73	73	S	2182384	                  Erythrobacter aureus
0.00	44	44	S	1044	                  Erythrobacter longus
0.77	18051	0	G	1855416	              Qipengyuania
0.30	7045	7045	S	192812	                Qipengyuania flava
0.27	6210	6210	S	225971	                Qipengyuania citrea
0.20	4714	4714	S	994320	                Qipengyuania pelagi
0.00	81	81	S	291985	                Qipengyuania vulgaris
0.10	2309	0	G	1295327	              Croceicoccus
0.09	2204	0	G1	2629967	                unclassified Croceicoccus
0.09	2178	2178	S	1927144	                  Croceicoccus sp.
0.00	26	26	S	2798724	                  Croceicoccus sp. YJ47
0.00	37	37	S	2835536	                Croceicoccus gelatinilyticus
0.00	30	30	S	450378	                Croceicoccus marinus
0.00	37	37	S	1348774	                Croceicoccus naphthovorans
0.03	799	0	F1	517744	              unclassified Erythrobacteraceae
0.03	799	799	S	2026738	                Erythrobacteraceae bacterium
0.01	317	0	G	2792293	              Pseudopontixanthobacter
0.01	317	317	S	2726450	                Pseudopontixanthobacter vadosimaris
0.01	304	0	G	2800681	              Aurantiacibacter
0.01	185	185	S	2307003	                Aurantiacibacter zhengii
0.01	118	118	S	1648404	                Aurantiacibacter atlanticus
0.00	85	0	G	2676755	              Croceibacterium
0.00	85	85	S	1267766	                Croceibacterium atlanticum
0.00	85	0	G	2800685	              Pelagerythrobacter
0.00	51	51	S	2306995	                Pelagerythrobacter aerophilus
0.00	33	33	S	538382	                Pelagerythrobacter marinus
0.00	35	0	G	2800686	              Tsuneonella
0.00	35	35	S	2306996	                Tsuneonella suprasediminis
0.00	25	0	G	2852059	              Actirhodobacter
0.00	25	25	S	2744473	                Actirhodobacter atriluteus
0.00	31	0	F	2820280	            Sphingosinicellaceae
0.00	31	0	G	1960290	              Pacificimonas
0.00	31	31	S	1234595	                Pacificimonas flava
0.00	23	0	O1	451299	            unclassified Sphingomonadales
0.00	23	23	S	1978525	              Sphingomonadales bacterium
3.07	71456	0	O	204455	          Rhodobacterales
1.93	44928	0	F	2854170	            Roseobacteraceae
1.02	23811	0	G	404235	              Maritimibacter
1.02	23773	23773	S	404236	                Maritimibacter alkaliphilus
0.00	38	0	G1	2635563	                unclassified Maritimibacter
0.00	38	38	S	2003363	                  Maritimibacter sp.
0.46	10831	0	G	60136	              Sulfitobacter
0.40	9298	9298	S	60137	                Sulfitobacter pontiacus
0.04	860	0	G1	196795	                unclassified Sulfitobacter
0.01	157	157	S	2663018	                  Sulfitobacter sp. BDSS02
0.02	399	399	S	1968541	                  Sulfitobacter sp. D7
0.01	177	177	S	1903071	                  Sulfitobacter sp.
0.00	86	86	S	2821105	                  Sulfitobacter sp. R18_2
0.00	39	39	S	1822232	                  Sulfitobacter sp. HI0040
0.03	673	673	S	335975	                Sulfitobacter litoralis
0.13	3059	0	G	436357	              Thalassococcus
0.13	3009	3009	S	2282382	                Thalassococcus profundi
0.00	49	49	S	373675	                Thalassococcus halodurans
0.12	2819	0	G	367771	              Marinovum
0.12	2819	2819	S	42444	                Marinovum algicola
0.07	1546	0	G	302485	              Phaeobacter
0.07	1546	0	G1	2621772	                unclassified Phaeobacter
0.07	1546	1546	S	1317111	                  Phaeobacter sp. 22II1-1F12B
0.05	1207	0	G	74030	              Roseovarius
0.03	810	810	S	314263	                Roseovarius nubinhibens
0.01	340	340	S	540747	                Roseovarius indicus
0.00	38	38	S	1852027	                Roseovarius confluentis
0.00	17	17	S	2211448	                Roseovarius amoyensis
0.04	945	0	G	2433	              Roseobacter
0.04	945	0	G1	196798	                unclassified Roseobacter
0.04	945	945	S	1907202	                  Roseobacter sp.
0.01	276	0	G	188905	              Jannaschia
0.01	276	276	S	188906	                Jannaschia helgolandensis
0.01	211	0	G	1068904	              Primorskyibacter
0.01	211	211	S	1387277	                Primorskyibacter flagellatus
0.00	99	0	G	263377	              Salipiger
0.00	78	78	S	344736	                Salipiger bermudensis
0.00	21	21	S	555512	                Salipiger marinus
0.00	39	0	G	245186	              Loktanella
0.00	39	39	S	1524255	                Loktanella ponticola
0.00	32	0	G	947567	              Litoreibacter
0.00	32	32	S	670154	                Litoreibacter janthinus
0.00	27	0	G	2854186	              Pseudosulfitobacter
0.00	27	27	S	1402135	                Pseudosulfitobacter pseudonitzschiae
0.00	17	0	G	1400062	              Tranquillimonas
0.00	17	17	S	441119	                Tranquillimonas alkanivorans
1.14	26528	0	F	31989	            Paracoccaceae
0.71	16504	0	G	265	              Paracoccus
0.71	16504	0	G1	2688777	                unclassified Paracoccus (in: a-proteobacteria)
0.68	15817	15817	S	1947056	                  Paracoccus sp. UBA889
0.03	686	686	S	2821098	                  Paracoccus sp. R12_2
0.31	7152	0	G	1679449	              Pseudooceanicola
0.29	6668	6668	S	2029104	                Pseudooceanicola lipolyticus
0.02	437	437	S	1461694	                Pseudooceanicola atlanticus
0.00	46	46	S	375761	                Pseudooceanicola nanhaiensis
0.05	1226	0	G	2824249	              Arenibacterium
0.05	1226	1226	S	2583821	                Arenibacterium halophilum
0.02	561	0	F1	58840	              unclassified Paracoccaceae
0.02	561	561	S	1904441	                Paracoccaceae bacterium
0.01	337	0	G	2840314	              Alterinioella
0.01	337	337	S	2735915	                Alterinioella nitratireducens
0.01	299	0	G	2813041	              Vannielia
0.01	299	299	S	1217970	                Vannielia litorea
0.01	154	0	G	1931200	              Marinibacterium
0.01	154	154	S	1679460	                Marinibacterium profundimaris
0.00	90	0	G	2083206	              Tritonibacter
0.00	56	56	S	379347	                Tritonibacter mobilis
0.00	34	34	S	1768241	                Tritonibacter horizontis
0.00	86	0	G	1097465	              Pararhodobacter
