name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Salinimonas iocasae	2572577	S	1040	925	1965	0.49422
Alteromonas sp. RKMC-009	2267264	S	39	0	39	0.00981
Pseudoalteromonas arctica	394751	S	68	57	125	0.03144
Pseudoalteromonas sp. NC201	1514074	S	31	0	31	0.00780
Shewanella aestuarii	1028752	S	17	36	53	0.01333
Halomonas ventosae	229007	S	77	314	391	0.09834
Halomonas sulfidaeris	115553	S	35	26	61	0.01534
Marinobacter sp. NP-4(2019)	2488665	S	35	0	35	0.00880
Pseudomonas putida	303	S	32	42	74	0.01861
Vibrio rumoiensis	76258	S	31	199	230	0.05785
Proteus sp. ZN5	2697019	S	12	312	324	0.08149
Sphingopyxis sp. 113P3	292913	S	69	148	217	0.05458
Novosphingobium pentaromativorans	205844	S	35	26	61	0.01534
Novosphingobium resinovorum	158500	S	20	31	51	0.01283
Novosphingobium aromaticivorans	48935	S	18	0	18	0.00453
Sphingobium cloacae	120107	S	15	162	177	0.04452
Porphyrobacter sp. YT40	2547601	S	38	66	104	0.02616
Beijerinckiaceae bacterium RH AL1	2572036	S	12	0	12	0.00302
