name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Novosphingobium aromaticivorans	48935	S	179	1	180	0.01713
Novosphingobium resinovorum	158500	S	88	94	182	0.01732
Novosphingobium sp. EMRT-2	2571749	S	43	40	83	0.00790
Novosphingobium pentaromativorans	205844	S	30	10	40	0.00381
Sphingobium sp. TKS	1315974	S	18	75	93	0.00885
Sphingobium sp. CAP-1	2676077	S	16	115	131	0.01247
Sphingobium sp. RAC03	1843368	S	12	5	17	0.00162
Sphingobium cloacae	120107	S	80	431	511	0.04863
Sphingobium baderi	1332080	S	38	143	181	0.01722
Sphingomonas sanxanigenens	397260	S	83	148	231	0.02198
Sphingomonas sp. FARSPH	2219696	S	20	34	54	0.00514
Sphingomonas sp. NBWT7	2596913	S	18	87	105	0.00999
Sphingopyxis sp. 113P3	292913	S	56	74	130	0.01237
Sphingopyxis sp. FD7	1914525	S	20	18	38	0.00362
Sphingopyxis lindanitolerans	2054227	S	13	366	379	0.03607
Sphingopyxis macrogoltabida	33050	S	12	23	35	0.00333
Rhizorhabdus dicambivorans	1850238	S	27	366	393	0.03740
Porphyrobacter sp. YT40	2547601	S	551	250	801	0.07623
Aurantiacibacter atlanticus	1648404	S	346	715	1061	0.10097
Croceicoccus marinus	450378	S	123	40	163	0.01551
Sulfitobacter sp. THAF37	2587855	S	114	398	512	0.04872
Sulfitobacter sp. D7	1968541	S	48	104	152	0.01447
Sulfitobacter alexandrii	1917485	S	37	225	262	0.02493
Roseovarius mucosus	215743	S	29	329	358	0.03407
Roseovarius indicus	540747	S	28	113	141	0.01342
Sagittula sp. P11	2009329	S	36	194	230	0.02189
Pseudosulfitobacter pseudonitzschiae	1402135	S	32	40	72	0.00685
Salipiger profundus	1229727	S	16	43	59	0.00561
Salipiger abyssi	1250539	S	15	27	42	0.00400
Phaeobacter gallaeciensis	60890	S	16	49	65	0.00619
Dinoroseobacter shibae	215813	S	15	83	98	0.00933
Yoonia vestfoldensis	245188	S	13	200	213	0.02027
Rhizobium oryzihabitans	2267833	S	16	40	56	0.00533
Agrobacterium tumefaciens	358	S	18	18	36	0.00343
Roseibium aggregatum	187304	S	76	1	77	0.00733
Beijerinckiaceae bacterium RH AL1	2572036	S	58	2	60	0.00571
Martelella sp. AD-3	686597	S	18	138	156	0.01485
Aquibium oceanicum	1670800	S	19	0	19	0.00181
Halomonas ventosae	229007	S	140	275	415	0.03949
Halomonas sulfidaeris	115553	S	82	38	120	0.01142
Pseudoalteromonas shioyasakiensis	1190813	S	65	0	65	0.00619
Pseudoalteromonas arctica	394751	S	32	16	48	0.00457
Salinimonas iocasae	2572577	S	75	51	126	0.01199
Psychrobacter sp. 4Dc	888437	S	26	100	126	0.01199
Moraxella osloensis	34062	S	15	3	18	0.00171
Pseudomonas putida	303	S	70	50	120	0.01142
Marinobacter sp. NP-4(2019)	2488665	S	36	0	36	0.00343
Proteus sp. ZN5	2697019	S	54	551	605	0.05758
Enterobacter cloacae	550	S	13	97	110	0.01047
Alicycliphilus denitrificans	179636	S	48	31	79	0.00752
Mycolicibacterium poriferae	39694	S	665	326	991	0.09431
Mycolicibacterium chubuense	1800	S	15	11	26	0.00247
Mycobacterium sp. MS1601	1936029	S	17	6	23	0.00219
Mycobacterium sp. ELW1	1547487	S	16	9	25	0.00238
Mycobacterium frederiksbergense	117567	S	26	6	32	0.00305
Mycobacterium kansasii	1768	S	13	5	18	0.00171
Microbacterium sediminis	904291	S	23	20	43	0.00409
Microbacterium paraoxydans	199592	S	17	22	39	0.00371
