name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas macleodii	28108	S	131850	285557	417407	0.03682
Alteromonas sp. RKMC-009	2267264	S	12351	2544	14895	0.00131
Alteromonas sp. IB21	2779369	S	4063	4269	8332	0.00073
Alteromonas sp. KUL42	2480797	S	460	71	531	0.00005
Alteromonas sp. BL110	1714845	S	294	461	755	0.00007
Alteromonas sp. KUL106	2480799	S	218	90	308	0.00003
Alteromonas sp. KUL49	2480798	S	213	13	226	0.00002
Alteromonas sp. V450	1912139	S	84	61	145	0.00001
Alteromonas sp. 38	2653129	S	57	63	120	0.00001
Alteromonas sp. KC3	2795688	S	52	15	67	0.00001
Alteromonas sp. ALT199	1298865	S	39	49	88	0.00001
Alteromonas australica	589873	S	11760	5702	17462	0.00154
Alteromonas alba	2079529	S	6699	51034	57733	0.00509
Alteromonas oceani	2071609	S	5377	20926	26303	0.00232
Alteromonas abrolhosensis	1892904	S	5128	7011	12139	0.00107
Alteromonas marina	203795	S	3996	8175	12171	0.00107
Alteromonas mediterranea	314275	S	3150	4393	7543	0.00067
Alteromonas antoniana	2803813	S	1324	1090	2414	0.00021
Alteromonas portus	2565549	S	1200	1313	2513	0.00022
Alteromonas profundi	2696062	S	1181	730	1911	0.00017
Alteromonas gracilis	1479524	S	233	174	407	0.00004
Alteromonas genovensis	471225	S	231	204	435	0.00004
Alteromonas naphthalenivorans	715451	S	193	348	541	0.00005
Alteromonas oceanisediminis	2836180	S	169	37	206	0.00002
Alteromonas pelagimontana	1858656	S	136	20	156	0.00001
Alteromonas confluentis	1656094	S	71	9	80	0.00001
Alteromonas lipolytica	1856405	S	62	10	72	0.00001
Alteromonas aestuariivivens	1938339	S	38	1	39	0.00000
Alteromonas hispanica	315421	S	33	5	38	0.00000
Alteromonas halophila	516698	S	23	4	27	0.00000
Alteromonas lipotrueiana	2803815	S	19	5	24	0.00000
Salinimonas lutimaris	914153	S	2098	545	2643	0.00023
Salinimonas iocasae	2572577	S	1011	381	1392	0.00012
Salinimonas sediminis	2303538	S	120	90	210	0.00002
Salinimonas chungwhensis	265425	S	72	15	87	0.00001
Salinimonas profundi	2729140	S	62	45	107	0.00001
Salinimonas marina	2785918	S	28	5	33	0.00000
Alteromonadaceae bacterium UBA2620	1951386	S	26312	95692	122004	0.01076
Alteromonadaceae bacterium	1916082	S	4540	2145	6685	0.00059
Alteromonadaceae bacterium XY-R5	1737567	S	20	1	21	0.00000
Marisediminitalea aggregata	634436	S	3007	515	3522	0.00031
Glaciecola sp. UBA1851	1946570	S	146	19	165	0.00001
Glaciecola sp. HTCC2999	455436	S	45	6	51	0.00000
Aestuariibacter sp.	1872400	S	55	14	69	0.00001
Aestuariibacter sp. GS-14	2590670	S	42	9	51	0.00000
Aestuariibacter salexigens	226010	S	18	0	18	0.00000
Paraglaciecola chathamensis	368405	S	28	5	33	0.00000
Ningiella ruwaisensis	2364274	S	19	6	25	0.00000
Hydrocarboniclastica marina	2259620	S	14	2	16	0.00000
Neptunicella marina	2125989	S	13	2	15	0.00000
Pseudoalteromonas sp. MEBiC 03607	2563601	S	1942	5065	7007	0.00062
Pseudoalteromonas sp. 0303	2743618	S	302	3207	3509	0.00031
Pseudoalteromonas sp.	53249	S	286	1224	1510	0.00013
Pseudoalteromonas sp. '520P1 No. 423'	1690037	S	176	40	216	0.00002
Pseudoalteromonas sp. XI10	1766621	S	120	1274	1394	0.00012
Pseudoalteromonas sp. NBT06-2	2025950	S	60	4	64	0.00001
Pseudoalteromonas sp. HM-SA03	2029678	S	28	141	169	0.00001
Pseudoalteromonas sp. T1lg23B	2077097	S	20	12	32	0.00000
Pseudoalteromonas sp. P1-25	1723758	S	17	25	42	0.00000
Pseudoalteromonas shioyasakiensis	1190813	S	1663	13511	15174	0.00134
Pseudoalteromonas atlantica	288	S	1657	3427	5084	0.00045
Pseudoalteromonas arabiensis	874454	S	809	711	1520	0.00013
Pseudoalteromonas ruthenica	151081	S	505	117	622	0.00005
Pseudoalteromonas tetraodonis	43659	S	247	1073	1320	0.00012
Pseudoalteromonas gelatinilytica	1703256	S	240	1147	1387	0.00012
Pseudoalteromonas lipolytica	570156	S	238	672	910	0.00008
Pseudoalteromonas marina	267375	S	45	73	118	0.00001
Pseudoalteromonas undina	43660	S	44	203	247	0.00002
Pseudoalteromonas distincta	77608	S	25	193	218	0.00002
Pseudoalteromonas espejiana	28107	S	19	28	47	0.00000
Pseudoalteromonas prydzensis	182141	S	18	23	41	0.00000
Pseudoalteromonas nigrifaciens	28109	S	16	75	91	0.00001
Pseudoalteromonas rhizosphaerae	2518973	S	14	52	66	0.00001
Algicola sp.	1872429	S	27	10	37	0.00000
Idiomarina baltica	190892	S	14028	14140	28168	0.00248
