name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudoalteromonas sp. CF6-2	562716	S	1889	25256	27145	0.03650
Pseudoalteromonas sp. SCSIO 43101	2822847	S	1726	2280	4006	0.00539
Pseudoalteromonas sp. SCSIO 43095	2894202	S	986	7092	8078	0.01086
Pseudoalteromonas sp. SCSIO 43088	2822846	S	950	2591	3541	0.00476
Pseudoalteromonas sp. Xi13	2490635	S	329	4235	4564	0.00614
Pseudoalteromonas sp. SM9913	234831	S	278	15875	16153	0.02172
Pseudoalteromonas sp. PS1M3	87791	S	214	3876	4090	0.00550
Pseudoalteromonas sp. APM04	2699396	S	211	4260	4471	0.00601
Pseudoalteromonas sp. DL-6	1390185	S	208	675	883	0.00119
Pseudoalteromonas sp. 3J6	649161	S	51	552	603	0.00081
Pseudoalteromonas sp. SiA1	2839744	S	43	1756	1799	0.00242
Pseudoalteromonas sp. LC2018020214	2799564	S	34	739	773	0.00104
Pseudoalteromonas sp. THAF3	2587843	S	25	142	167	0.00022
Pseudoalteromonas agarivorans	176102	S	875	10753	11628	0.01564
Pseudoalteromonas undina	43660	S	229	2313	2542	0.00342
Pseudoalteromonas lipolytica	570156	S	175	8220	8395	0.01129
Pseudoalteromonas shioyasakiensis	1190813	S	154	394	548	0.00074
Pseudoalteromonas prydzensis	182141	S	141	68	209	0.00028
Pseudoalteromonas donghaensis	621376	S	110	5586	5696	0.00766
Pseudoalteromonas arabiensis	874454	S	93	2997	3090	0.00416
Pseudoalteromonas nigrifaciens	28109	S	86	1863	1949	0.00262
Pseudoalteromonas ruthenica	151081	S	62	362	424	0.00057
Pseudoalteromonas atlantica	288	S	61	1293	1354	0.00182
Pseudoalteromonas rhizosphaerae	2518973	S	55	43	98	0.00013
Pseudoalteromonas espejiana	28107	S	43	41	84	0.00011
Pseudoalteromonas arctica	394751	S	41	134	175	0.00024
Pseudoalteromonas carrageenovora	227	S	36	48	84	0.00011
Pseudoalteromonas issachenkonii	152297	S	33	1286	1319	0.00177
