name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas macleodii	28108	S	74587	169021	243608	0.05340
Alteromonas mediterranea	314275	S	38478	53468	91946	0.02016
Alteromonas australica	589873	S	31415	14980	46395	0.01017
Alteromonas abrolhosensis	1892904	S	3638	5215	8853	0.00194
Alteromonas sp. IB21	2779369	S	982	1160	2142	0.00047
Alteromonas sp. RKMC-009	2267264	S	192	38	230	0.00005
Alteromonas sp. KUL42	2480797	S	147	29	176	0.00004
Alteromonas sp. KUL106	2480799	S	135	71	206	0.00005
Alteromonas sp. BL110	1714845	S	34	92	126	0.00003
Alteromonas sp. V450	1912139	S	32	23	55	0.00001
Alteromonas sp. KC3	2795688	S	32	11	43	0.00001
Alteromonas sp. ALT199	1298865	S	28	66	94	0.00002
Alteromonas sp. LOR	1537994	S	23	19	42	0.00001
Alteromonas confluentis	1656094	S	1911	241	2152	0.00047
Alteromonas marina	203795	S	1625	3487	5112	0.00112
Alteromonas antoniana	2803813	S	802	660	1462	0.00032
Alteromonas profundi	2696062	S	673	400	1073	0.00024
Alteromonas oceanisediminis	2836180	S	341	84	425	0.00009
Alteromonas hispanica	315421	S	334	57	391	0.00009
Alteromonas genovensis	471225	S	329	306	635	0.00014
Alteromonas naphthalenivorans	715451	S	253	471	724	0.00016
Alteromonas oceani	2071609	S	244	1043	1287	0.00028
Alteromonas alba	2079529	S	233	2012	2245	0.00049
Alteromonas gracilis	1479524	S	228	172	400	0.00009
Alteromonas portus	2565549	S	213	247	460	0.00010
Alteromonas pelagimontana	1858656	S	106	15	121	0.00003
Salinimonas sediminis	2303538	S	441	278	719	0.00016
Salinimonas iocasae	2572577	S	86	19	105	0.00002
Salinimonas lutimaris	914153	S	28	6	34	0.00001
Alteromonadaceae bacterium	1916082	S	670	332	1002	0.00022
Alteromonadaceae bacterium UBA2620	1951386	S	64	269	333	0.00007
Glaciecola sp. UBA1851	1946570	S	31	5	36	0.00001
Glaciecola sp. XM2	1914931	S	14	0	14	0.00000
Marisediminitalea aggregata	634436	S	46	9	55	0.00001
Paraglaciecola polaris	222814	S	23	10	33	0.00001
Ningiella ruwaisensis	2364274	S	22	8	30	0.00001
Neptunicella marina	2125989	S	21	3	24	0.00001
Pseudoalteromonas atlantica	288	S	3427	5673	9100	0.00199
Pseudoalteromonas tetraodonis	43659	S	977	3377	4354	0.00095
Pseudoalteromonas arabiensis	874454	S	702	485	1187	0.00026
Pseudoalteromonas sp.	53249	S	85	277	362	0.00008
Pseudoalteromonas sp. 0303	2743618	S	29	235	264	0.00006
Pseudoalteromonas sp. DL-6	1390185	S	24	76	100	0.00002
Pseudoalteromonas sp. P1-25	1723758	S	21	24	45	0.00001
Pseudoalteromonas sp. NBT06-2	2025950	S	12	0	12	0.00000
Pseudoalteromonas sp. Z1A8	2686354	S	12	30	42	0.00001
Pseudoalteromonas lipolytica	570156	S	128	289	417	0.00009
Pseudoalteromonas shioyasakiensis	1190813	S	84	542	626	0.00014
Pseudoalteromonas undina	43660	S	82	296	378	0.00008
Pseudoalteromonas marina	267375	S	57	75	132	0.00003
Pseudoalteromonas haloplanktis	228	S	39	26	65	0.00001
Pseudoalteromonas prydzensis	182141	S	34	36	70	0.00002
Pseudoalteromonas piratica	1348114	S	32	15	47	0.00001
Pseudoalteromonas carrageenovora	227	S	21	46	67	0.00001
Pseudoalteromonas nigrifaciens	28109	S	19	71	90	0.00002
Pseudoalteromonas espejiana	28107	S	13	15	28	0.00001
Idiomarina loihiensis	135577	S	2226	1493	3719	0.00082
Idiomarina zobellii	86103	S	792	2205	2997	0.00066
Idiomarina aquatica	1327752	S	171	83	254	0.00006
Idiomarina baltica	190892	S	153	231	384	0.00008
Idiomarina piscisalsi	1096243	S	138	289	427	0.00009
Idiomarina abyssalis	86102	S	58	45	103	0.00002
Idiomarina sp. X4	2055892	S	16	40	56	0.00001
Pseudidiomarina maritima	519453	S	28	28	56	0.00001
Pseudidiomarina aestuarii	624146	S	22	3	25	0.00001
Idiomarinaceae bacterium	1898113	S	59	59	118	0.00003
Litorilituus sediminis	718192	S	21	8	29	0.00001
Thalassotalea marina	1673741	S	12	6	18	0.00000
Shewanella inventionis	1738770	S	18	11	29	0.00001
Gammaproteobacteria bacterium	1913989	S	149474	35176	184650	0.04048
Gammaproteobacteria bacterium UBA6940	1948640	S	5786	862	6648	0.00146
Gammaproteobacteria bacterium UBA3532	1948611	S	241	125	366	0.00008
Gammaproteobacteria bacterium UBA1961	1948588	S	101	25	126	0.00003
Gammaproteobacteria bacterium REDSEA-S15_B12	1811666	S	97	71	168	0.00004
Gammaproteobacteria bacterium UBA1119	1948582	S	92	38	130	0.00003
gamma proteobacterium SCGC AAA007-O20	913327	S	42	18	60	0.00001
Halomonas aquamarina	77097	S	6266	30810	37076	0.00813
Halomonas sp. UBA3074	1946584	S	2553	4186	6739	0.00148
Halomonas sp.	1486246	S	190	117	307	0.00007
Halomonas sp. GT	1971364	S	26	50	76	0.00002
Halomonas sp. HAL1	550984	S	18	56	74	0.00002
Halomonas sp. 54_146	1635257	S	17	17	34	0.00001
Halomonas piezotolerans	2609667	S	649	865	1514	0.00033
Halomonas lionensis	1144478	S	580	2301	2881	0.00063
Halomonas sulfidaeris	115553	S	411	164	575	0.00013
Halomonas salicampi	1449798	S	144	57	201	0.00004
Halomonas meridiana	29570	S	131	224	355	0.00008
Halomonas maris	2729617	S	91	327	418	0.00009
Halomonas glaciei	186761	S	55	208	263	0.00006
Halomonas sedimenti	2729618	S	47	99	146	0.00003
Halomonas hamiltonii	502829	S	42	152	194	0.00004
Halomonas nanhaiensis	1258546	S	29	29	58	0.00001
Halomonas stevensii	502821	S	26	119	145	0.00003
Halomonas alkaliantarctica	232346	S	24	40	64	0.00001
Halomonas venusta	44935	S	20	12	32	0.00001
Halomonas lutescens	1602943	S	19	9	28	0.00001
Salinicola salarius	430457	S	440	252	692	0.00015
Salinicola sp.	1978524	S	379	360	739	0.00016
Cobetia amphilecti	1055104	S	45	31	76	0.00002
Oceanospirillaceae bacterium	1899355	S	21080	6207	27287	0.00598
Oceanospirillaceae bacterium UBA1126	1952987	S	12	0	12	0.00000
Thalassolituus oleivorans	187493	S	3163	1776	4939	0.00108
Thalassolituus sp. UBA2107	1947659	S	690	3516	4206	0.00092
Thalassolituus sp. C2-1	2597518	S	247	105	352	0.00008
Thalassolituus sp. UBA674	1947666	S	24	8	32	0.00001
Oleibacter marinus	484498	S	148	480	628	0.00014
Oleibacter sp.	2024845	S	71	36	107	0.00002
Neptuniibacter sp. UBA6509	1946976	S	196	33	229	0.00005
Oceanobacter sp.	2030817	S	44	12	56	0.00001
Bermanella sp.	2024825	S	35	17	52	0.00001
Marinomonas fungiae	1137284	S	12	9	21	0.00000
Alcanivorax sp. DSM 26293	1798238	S	3327	5761	9088	0.00199
Alcanivorax sp.	1872427	S	634	687	1321	0.00029
Alcanivorax sp. DG881	236097	S	328	347	675	0.00015
Alcanivorax sp. UBA4485	1945988	S	98	168	266	0.00006
Alcanivorax sp. DP30	2606217	S	37	19	56	0.00001
Alcanivorax jadensis	64988	S	2905	2830	5735	0.00126
Alcanivorax borkumensis	59754	S	1237	489	1726	0.00038
Alcanivorax hongdengensis	519051	S	139	94	233	0.00005
Alcanivorax nanhaiticus	1177154	S	78	120	198	0.00004
Alcanivorax sediminis	2663008	S	36	18	54	0.00001
Alloalcanivorax venustensis	172371	S	1437	6933	8370	0.00183
Alcanivoracaceae bacterium	2024895	S	105	197	302	0.00007
uncultured Litorivicinus sp.	1587531	S	13	4	17	0.00000
Methylophaga sp.	2024840	S	37566	10096	47662	0.01045
Methylophaga sp. UBA3192	1946882	S	252	70	322	0.00007
Methylophaga sp. UBA2689	1946878	S	95	116	211	0.00005
Methylophaga aminisulfidivorans	230105	S	8244	6906	15150	0.00332
Methylophaga sulfidovorans	45496	S	186	90	276	0.00006
Methylophaga thiooxydans	392484	S	173	28	201	0.00004
Methylophaga nitratireducenticrescens	754476	S	13	14	27	0.00001
Cycloclasticus sp.	2024830	S	33	12	45	0.00001
uncultured Francisellaceae bacterium	393692	S	160	1	161	0.00004
uncultured Thiothrix sp.	223185	S	28	2	30	0.00001
Marinobacter salarius	1420917	S	5737	10593	16330	0.00358
Marinobacter nauticus	2743	S	1497	905	2402	0.00053
Marinobacter vinifirmus	355591	S	1463	2085	3548	0.00078
Marinobacter sp. B9-2	2137198	S	224	815	1039	0.00023
Marinobacter sp.	50741	S	185	150	335	0.00007
Marinobacter sp. LQ44	1749259	S	39	99	138	0.00003
Marinobacter sp. Arc7-DN-1	2304594	S	35	34	69	0.00002
Marinobacter sp. EhC06	1849169	S	15	28	43	0.00001
Marinobacter manganoxydans	1150997	S	262	4104	4366	0.00096
Marinobacter fuscus	2109942	S	122	157	279	0.00006
Marinobacter algicola	236100	S	115	129	244	0.00005
Marinobacter flavimaris	262076	S	104	1674	1778	0.00039
Marinobacter adhaerens	1033846	S	46	370	416	0.00009
Marinobacter alexandrii	2570351	S	43	16	59	0.00001
Marinobacter salsuginis	418719	S	30	32	62	0.00001
