name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas macleodii	28108	S	233897	154070	387967	0.40668
Alteromonas mediterranea	314275	S	19092	13392	32484	0.03405
Alteromonas sp. RKMC-009	2267264	S	1014	251	1265	0.00133
Alteromonas sp. B31-7	2785913	S	683	9864	10547	0.01106
Alteromonas sp. RW2A1	1917158	S	214	836	1050	0.00110
Alteromonas sp. MB-3u-76	2058133	S	168	464	632	0.00066
Alteromonas sp. BL110	1714845	S	61	27	88	0.00009
Alteromonas sp. 76-1	2358187	S	15	15	30	0.00003
Alteromonas sp. 009811495	3002962	S	15	14	29	0.00003
Alteromonas sp. LMIT006	2961948	S	14	3	17	0.00002
Alteromonas australica	589873	S	1648	9945	11593	0.01215
Alteromonas naphthalenivorans	715451	S	48	64	112	0.00012
Alteromonas pelagimontana	1858656	S	25	5	30	0.00003
Salinimonas sediminis	2303538	S	216	165	381	0.00040
Salinimonas iocasae	2572577	S	28	13	41	0.00004
Pseudoalteromonas sp. SCSIO 43088	2822846	S	3889	6086	9975	0.01046
Pseudoalteromonas sp. SCSIO 43101	2822847	S	382	339	721	0.00076
Pseudoalteromonas sp. PS1M3	87791	S	257	2400	2657	0.00279
Pseudoalteromonas sp. CF6-2	562716	S	125	588	713	0.00075
Pseudoalteromonas sp. APM04	2699396	S	65	618	683	0.00072
Pseudoalteromonas sp. MT33b	2759705	S	59	1202	1261	0.00132
Pseudoalteromonas sp. SCSIO 43095	2894202	S	29	91	120	0.00013
Pseudoalteromonas sp. JSTW	2752475	S	24	526	550	0.00058
Pseudoalteromonas sp. KAN5	2916633	S	19	179	198	0.00021
Pseudoalteromonas sp. A22	327511	S	12	208	220	0.00023
Pseudoalteromonas donghaensis	621376	S	3055	59214	62269	0.06527
Pseudoalteromonas spongiae	298657	S	1297	457	1754	0.00184
Pseudoalteromonas shioyasakiensis	1190813	S	886	1834	2720	0.00285
Pseudoalteromonas phenolica	161398	S	108	30	138	0.00014
Pseudoalteromonas issachenkonii	152297	S	50	680	730	0.00077
Pseudoalteromonas arabiensis	874454	S	47	516	563	0.00059
Pseudoalteromonas piscicida	43662	S	40	99	139	0.00015
Pseudoalteromonas rhizosphaerae	2518973	S	33	17	50	0.00005
Pseudoalteromonas piratica	1348114	S	21	7	28	0.00003
Psychrosphaera ytuae	2820710	S	20	9	29	0.00003
Idiomarina sp. OT37-5b	2100422	S	171	204	375	0.00039
Idiomarina sp. X4	2055892	S	50	154	204	0.00021
Idiomarina loihiensis	135577	S	99	85	184	0.00019
Idiomarina piscisalsi	1096243	S	25	72	97	0.00010
Shewanella sp. FDAARGOS_354	1930557	S	16	212	228	0.00024
Shewanella chilikensis	558541	S	17	69	86	0.00009
Colwellia sp. M166	2583805	S	117	92	209	0.00022
Stutzerimonas stutzeri	316	S	875	6495	7370	0.00773
Stutzerimonas kunmingensis	1211807	S	210	5128	5338	0.00560
Stutzerimonas chloritidismutans	203192	S	74	2016	2090	0.00219
Stutzerimonas frequens	2968969	S	1718	22529	24247	0.02542
Stutzerimonas balearica	74829	S	38	168	206	0.00022
[Pseudomonas] zhaodongensis	1176257	S	302	1976	2278	0.00239
Stutzerimonas xanthomarina	271420	S	44	93	137	0.00014
Stutzerimonas decontaminans	3022791	S	33	155	188	0.00020
Stutzerimonas sp. R40042	2998559	S	23	860	883	0.00093
Halopseudomonas aestusnigri	857252	S	2502	22996	25498	0.02673
Halopseudomonas sp. MFKK-1	3015994	S	747	4877	5624	0.00590
Halopseudomonas sp. RR6	2918528	S	122	31	153	0.00016
Halopseudomonas sabulinigri	472181	S	35	5	40	0.00004
Halopseudomonas litoralis	797277	S	18	14	32	0.00003
Pseudomonas aeruginosa	287	S	110	8133	8243	0.00864
Pseudomonas sp. OIL-1	2706126	S	13	25	38	0.00004
Pseudomonas knackmussii	65741	S	20	36	56	0.00006
Marinobacter nauticus	2743	S	16498	5829	22327	0.02340
Marinobacter sp. CP1	1671721	S	1121	5701	6822	0.00715
Marinobacter sp. AN1	2886046	S	345	145	490	0.00051
Marinobacter sp. LQ44	1749259	S	244	477	721	0.00076
Marinobacter sp. Arc7-DN-1	2304594	S	163	41	204	0.00021
Marinobacter sp. NP-4(2019)	2488665	S	35	22	57	0.00006
Marinobacter sp. JH2	2547598	S	26	18	44	0.00005
Marinobacter sp. es.042	1761794	S	23	50	73	0.00008
Marinobacter salarius	1420917	S	192	103	295	0.00031
Marinobacter adhaerens	1033846	S	117	657	774	0.00081
Marinobacter salsuginis	418719	S	68	28	96	0.00010
Halomonas meridiana	29570	S	9456	13272	22728	0.02382
Halomonas piezotolerans	2609667	S	874	636	1510	0.00158
Halomonas sp. DN3	2953657	S	183	39	222	0.00023
Halomonas sp. A3H3	1346287	S	62	1337	1399	0.00147
Halomonas sp. 18071143	2855441	S	29	94	123	0.00013
Halomonas sp. A40-4	2785909	S	20	11	31	0.00003
Halomonas sp. FeN2	2832500	S	19	11	30	0.00003
Halomonas sp. KO116	1504981	S	13	13	26	0.00003
Halomonas sp. SF2003	2136172	S	12	224	236	0.00025
Halomonas titanicae	664683	S	174	900	1074	0.00113
Cobetia sp. AM6	2661553	S	75	1461	1536	0.00161
Cobetia amphilecti	1055104	S	20	426	446	0.00047
Chromohalobacter salexigens	158080	S	319	74	393	0.00041
Marinomonas profundi	2726122	S	131	245	376	0.00039
Marinomonas algicola	2773454	S	43	20	63	0.00007
Thalassolituus oleivorans	187493	S	282	209	491	0.00051
Bacterioplanoides sp. SCSIO 12839	2829569	S	43	13	56	0.00006
Marinobacterium georgiense	48076	S	35	30	65	0.00007
Venatorbacter cucullus	2661630	S	17	30	47	0.00005
Alcanivorax sp. ALC70	2259335	S	123	185	308	0.00032
Alcanivorax sp. N3-2A	2014542	S	27	102	129	0.00014
Vibrio penaeicida	104609	S	308	436	744	0.00078
Vibrio chagasii	170679	S	224	305	529	0.00055
Vibrio navarrensis	29495	S	174	451	625	0.00066
Vibrio campbellii	680	S	59	563	622	0.00065
Vibrio parahaemolyticus	670	S	42	119	161	0.00017
Vibrio tubiashii	29498	S	146	309	455	0.00048
Vibrio sp. THAF190c	2587865	S	37	42	79	0.00008
Vibrio sp. SS-MA-C1-2	2908646	S	26	14	40	0.00004
Vibrio mediterranei	689	S	52	336	388	0.00041
Vibrio coralliilyticus	190893	S	24	159	183	0.00019
Vibrio cholerae	666	S	14	191	205	0.00021
Paraphotobacterium marinum	1755811	S	74	47	121	0.00013
Grimontia sp. 020920N	2872157	S	15	6	21	0.00002
Candidatus Pseudothioglobus singularis	1427364	S	2219	804	3023	0.00317
Candidatus Thioglobus autotrophicus	1705394	S	70	9	79	0.00008
Candidatus Thioglobus sp. NP1	2508687	S	30	11	41	0.00004
Psychrobacter sp. KCTC 72983	2733866	S	60	468	528	0.00055
Psychrobacter sp. KH172YL61	2517899	S	55	822	877	0.00092
Psychrobacter sp. AntiMn-1	1720344	S	29	580	609	0.00064
Psychrobacter sp. P11G5	1699624	S	12	78	90	0.00009
Acinetobacter schindleri	108981	S	13	222	235	0.00025
Moraxella osloensis	34062	S	73	76	149	0.00016
Stenotrophomonas maltophilia	40324	S	15	1029	1044	0.00109
Klebsiella michiganensis	1134687	S	17	1277	1294	0.00136
Marinagarivorans cellulosilyticus	2721545	S	51	93	144	0.00015
Marinimicrobium sp. C6131	3022676	S	15	10	25	0.00003
Spongiibacter sp. IMCC21906	1620392	S	39	28	67	0.00007
Zhongshania aliphaticivorans	1470434	S	13	4	17	0.00002
Halioglobus japonicus	930805	S	43	3	46	0.00005
Rheinheimera sp. D18	2545632	S	43	300	343	0.00036
Rheinheimera sp. MM224	3019969	S	16	40	56	0.00006
Nitrosococcus oceani	1229	S	73	4	77	0.00008
Methylophaga nitratireducenticrescens	754476	S	13	3	16	0.00002
Kangiella profundi	1561924	S	30	13	43	0.00005
Qipengyuania flava	192812	S	36596	29429	66025	0.06921
Qipengyuania sp. SS22	2979461	S	351	114	465	0.00049
Qipengyuania sp. PHS-Z21	2909673	S	59	46	105	0.00011
Qipengyuania seohaensis	266951	S	23	10	33	0.00003
Qipengyuania aurantiaca	2867233	S	13	8	21	0.00002
Erythrobacter sp. A30-3	2785907	S	26568	23375	49943	0.05235
Erythrobacter sp. 3-20A1M	2653850	S	78	64	142	0.00015
Erythrobacter sp. THAF29	2587851	S	21	6	27	0.00003
Erythrobacter aureus	2182384	S	1036	289	1325	0.00139
Erythrobacter litoralis	39960	S	240	218	458	0.00048
Erythrobacter mangrovi	2739433	S	25	13	38	0.00004
Croceicoccus sp. Ery5	1703340	S	655	615	1270	0.00133
Croceicoccus sp. Ery15	1703338	S	495	907	1402	0.00147
Croceicoccus marinus	450378	S	663	637	1300	0.00136
Croceicoccus naphthovorans	1348774	S	81	196	277	0.00029
Aurantiacibacter atlanticus	1648404	S	454	301	755	0.00079
Tsuneonella flava	2055955	S	408	165	573	0.00060
Croceibacterium atlanticum	1267766	S	162	96	258	0.00027
Pelagerythrobacter marensis	543877	S	25	5	30	0.00003
Novosphingopyxis iocasae	2762729	S	409	287	696	0.00073
Citromicrobium sp. JL477	1634516	S	322	171	493	0.00052
Sphingopyxis terrae	33052	S	41	182	223	0.00023
Sphingopyxis macrogoltabida	33050	S	32	53	85	0.00009
Sphingopyxis alaskensis	117207	S	28	12	40	0.00004
Sphingopyxis sp. FD7	1914525	S	22	20	42	0.00004
Sphingopyxis fribergensis	1515612	S	22	18	40	0.00004
Sphingosinithalassobacter tenebrarum	2711215	S	144	60	204	0.00021
Sphingobium cloacae	120107	S	22	307	329	0.00034
Sphingomonas sanxanigenens	397260	S	33	132	165	0.00017
Novosphingobium pentaromativorans	205844	S	27	68	95	0.00010
Novosphingobium sp. EMRT-2	2571749	S	17	55	72	0.00008
Thalassospira sp. GO-4	2946605	S	23083	4961	28044	0.02940
Thalassospira sp. B30-1	2785911	S	638	3190	3828	0.00401
Thalassospira sp. A40-3	2785908	S	21	26	47	0.00005
Thalassospira indica	1891279	S	85	195	280	0.00029
Thalassospira xiamenensis	220697	S	47	214	261	0.00027
Tistrella mobilis	171437	S	58	105	163	0.00017
Tritonibacter mobilis	379347	S	8681	7680	16361	0.01715
Pseudooceanicola atlanticus	1461694	S	3010	788	3798	0.00398
Pacificitalea manganoxidans	1411902	S	477	317	794	0.00083
Paracoccus sp. SCSIO 75233	3017782	S	24	65	89	0.00009
Paracoccus sp. SCSIO 76264	3017783	S	19	47	66	0.00007
Frigidibacter mobilis	1335048	S	17	29	46	0.00005
Pseudohalocynthiibacter aestuariivivens	1591409	S	13	81	94	0.00010
Pontibrevibacter nitratireducens	2758038	S	12	5	17	0.00002
Sulfitobacter sp. SK025	1389011	S	95	1950	2045	0.00214
Sulfitobacter sp. THAF37	2587855	S	15	54	69	0.00007
Sulfitobacter sp. B30-2	2785912	S	15	393	408	0.00043
Sulfitobacter faviae	1775881	S	206	461	667	0.00070
Sulfitobacter pontiacus	60137	S	74	1666	1740	0.00182
Sulfitobacter alexandrii	1917485	S	25	83	108	0.00011
Sulfitobacter dubius	218673	S	12	72	84	0.00009
Ruegeria sp. TM1040	292414	S	711	340	1051	0.00110
Ruegeria sp. B32	2867020	S	217	107	324	0.00034
Phaeobacter gallaeciensis	60890	S	647	1198	1845	0.00193
Phaeobacter inhibens	221822	S	46	52	98	0.00010
Phaeobacter piscinae	1580596	S	16	31	47	0.00005
Roseovarius indicus	540747	S	83	170	253	0.00027
Salipiger profundus	1229727	S	86	176	262	0.00027
Salipiger abyssi	1250539	S	22	52	74	0.00008
Sagittula sp. P11	2009329	S	88	204	292	0.00031
Leisingera caerulea	506591	S	37	18	55	0.00006
Leisingera sp. BMJM1	2930199	S	14	9	23	0.00002
Roseivivax marinus	1379903	S	25	15	40	0.00004
Actibacterium sp. EMB200-NS6	1609966	S	39	78	117	0.00012
Yangia pacifica	311180	S	30	11	41	0.00004
Pseudosulfitobacter sp. DSM 107133	2883100	S	13	21	34	0.00004
Octadecabacter sp. SW4	2602067	S	27	21	48	0.00005
Ponticoccus alexandrii	1943633	S	25	9	34	0.00004
Mameliella alba	561184	S	24	17	41	0.00004
Candidatus Pelagibacter sp. FZCC0015	2268451	S	459	4265	4724	0.00495
Candidatus Pelagibacter sp. RS40	1977865	S	413	1310	1723	0.00181
Candidatus Pelagibacter sp. RS39	1977864	S	86	700	786	0.00082
Roseibium aggregatum	187304	S	1241	955	2196	0.00230
Stappia indica	538381	S	39	19	58	0.00006
Martelella mediterranea	293089	S	261	733	994	0.00104
Martelella lutilitoris	2583532	S	12	47	59	0.00006
Agrobacterium tumefaciens	358	S	173	517	690	0.00072
Devosia sp. I507	2083786	S	238	59	297	0.00031
Pelagibacterium sp. YIM 151497	2984530	S	30	27	57	0.00006
Hyphomonas atlantica	1280948	S	1427	1639	3066	0.00321
Hyphomonas sp. KY3	2016196	S	88	83	171	0.00018
Hirschia baltica	2724	S	16	0	16	0.00002
Pseudemcibacter aquimaris	2857064	S	235	19	254	0.00027
Marinicauda algicola	2029849	S	107	134	241	0.00025
Glycocaulis alkaliphilus	1434191	S	86	14	100	0.00010
Parvularcula bermudensis	208216	S	17	26	43	0.00005
Limnobacter sp. SAORIC-580	2732163	S	1475	300	1775	0.00186
Lautropia mirabilis	47671	S	20	15	35	0.00004
Herbaspirillum huttiense	863372	S	36	48	84	0.00009
Maribacter dokdonensis	320912	S	181	2010	2191	0.00230
Maribacter sp. 1_2014MBL_MicDiv	1644130	S	135	1531	1666	0.00175
Maribacter cobaltidurans	1178778	S	60	60	120	0.00013
Zunongwangia profunda	398743	S	1539	1573	3112	0.00326
Zunongwangia sp. SCSIO 43204	2779359	S	485	449	934	0.00098
Zunongwangia sp. HGR-M22	3015168	S	27	57	84	0.00009
Muricauda aquimarina	254955	S	1187	1019	2206	0.00231
Muricauda oceani	2698672	S	50	29	79	0.00008
Mesoflavibacter sp. SCSIO 43206	2779362	S	918	637	1555	0.00163
Leeuwenhoekiella palythoae	573501	S	343	587	930	0.00097
Leeuwenhoekiella sp. ZYFB001	2719912	S	55	81	136	0.00014
Salegentibacter mishustinae	270918	S	415	508	923	0.00097
Salegentibacter sp. T436	1729720	S	62	85	147	0.00015
Nonlabens spongiae	331648	S	49	367	416	0.00044
Winogradskyella sp. MH6	2929510	S	180	126	306	0.00032
Winogradskyella sp. J14-2	1936080	S	23	14	37	0.00004
Winogradskyella forsetii	2686077	S	25	23	48	0.00005
Winogradskyella schleiferi	2686078	S	14	21	35	0.00004
Gilvibacter sp. SZ-19	754429	S	66	9	75	0.00008
Gramella flava	1486245	S	15	18	33	0.00003
Flavobacterium sp. CS20	2775246	S	39	19	58	0.00006
Arenibacter algicola	616991	S	31	19	50	0.00005
Oceanihabitans sp. IOP_32	2529032	S	30	14	44	0.00005
Antarcticibacterium flavum	2058175	S	23	6	29	0.00003
Tenacibaculum sp. SZ-18	754423	S	12	11	23	0.00002
Seonamhaeicola sp. S2-3	1936081	S	12	2	14	0.00001
Croceimicrobium hydrocarbonivorans	2761580	S	210	59	269	0.00028
Epilithonimonas vandammei	2487072	S	31	132	163	0.00017
Algoriphagus sp. NBT04N3	2705473	S	11088	1002	12090	0.01267
Prochlorococcus marinus	1219	S	695	3665	4360	0.00457
Synechococcus sp. MIT S9220	166309	S	32	1552	1584	0.00166
Synechococcus sp. Minos11	221341	S	21	121	142	0.00015
Brevibacterium casei	33889	S	155	420	575	0.00060
Brevibacterium sp. W7.2	2823518	S	99	1605	1704	0.00179
Brevibacterium sp. Ap13	1406197	S	15	9	24	0.00003
Microbacterium luteum	2782167	S	93	118	211	0.00022
Microbacterium paraoxydans	199592	S	12	98	110	0.00012
Kocuria palustris	71999	S	14	35	49	0.00005
Cutibacterium acnes	1747	S	581	1003	1584	0.00166
Cutibacterium granulosum	33011	S	16	23	39	0.00004
Cutibacterium avidum	33010	S	15	18	33	0.00003
Corynebacterium tuberculostearicum	38304	S	223	611	834	0.00087
Corynebacterium matruchotii	43768	S	113	242	355	0.00037
Corynebacterium kefirresidentii	1979527	S	15	49	64	0.00007
Gordonia alkanivorans	84096	S	25	172	197	0.00021
Mycobacterium canettii	78331	S	12	55	67	0.00007
Actinomyces naeslundii	1655	S	26	106	132	0.00014
Schaalia odontolytica	1660	S	18	17	35	0.00004
Pauljensenia hongkongensis	178339	S	18	19	37	0.00004
Aquihabitans sp. Kera 3	2884263	S	23	519	542	0.00057
Iamia majanohamensis	467976	S	23	548	571	0.00060
Staphylococcus hominis	1290	S	340	1864	2204	0.00231
Staphylococcus epidermidis	1282	S	66	2166	2232	0.00234
Staphylococcus capitis	29388	S	22	704	726	0.00076
Abyssicoccus albus	1817405	S	16	22	38	0.00004
Bacillus cereus	1396	S	12	1147	1159	0.00121
Streptococcus gordonii	1302	S	17	99	116	0.00012
Streptococcus sanguinis	1305	S	13	52	65	0.00007
Leuconostoc carnosum	1252	S	13	24	37	0.00004
Finegoldia magna	1260	S	68	101	169	0.00018
Veillonella parvula	29466	S	29	26	55	0.00006
Halobacteriovorax sp. BALOs_7	2109558	S	3303	148	3451	0.00362
Candidatus Kuenenia stuttgartiensis	174633	S	22	0	22	0.00002
Campylobacter ureolyticus	827	S	49	68	117	0.00012
Homo sapiens	9606	S	585	1346	1931	0.00202
Candidatus Nitrosopelagicus brevis	1410606	S	71	327	398	0.00042
Chosvirus KM23C739	2733898	S	247	0	247	0.00026
Stupnyavirus KM16C193	2733961	S	20	0	20	0.00002
Cyanophage P-RSM6	929832	S	23	0	23	0.00002
Salacisavirus pssm2	2734140	S	22	26	48	0.00005
Hapunavirus VP882	261726	S	21	0	21	0.00002
